date,start,end,type,number,title,speaker,affiliation,city,country,status,notes
2026-10-09,11:30,11:40,oral,37,Trajectory Guide for Accelerated Minimally-Invasive Neurosurgery: Hardware Validation in Phantoms,Thomas Lilieholm,ImgGyd LLC,,United States,,
2026-10-09,11:40,11:50,oral,38,An MRI-Guided Robot for Stereotactic Neurosurgery: An Initial Cadaver Study,Gang Li,Children's National Hospital,"Washington, DC",United States,,
2026-10-09,11:50,12:05,session,,Session VIII — Special Invited Lecture,,,,,,
2026-10-09,11:50,12:05,invited_talk,39,Invited Talk: From Intraoperative MRI to Intelligent Intervention: 30 Years of Image-Guided Therapy at Brigham and Women’s Hospital,"Nobuhiko Hata PhD, Brigham and Women's Hospital",,"Boston, MA",United States,confirmed,
2026-10-09,12:05,13:35,break,,Lunch Break and Exhibits,,,,,,
2026-10-09,13:35,14:20,session,,Session IX — Focused Ultrasound (FUS),"Moderators: Nicholas Todd, Second Moderator TBD",,,,,
2026-10-09,13:35,13:50,invited_talk,40,Invited Talk: MR-Guided Focused Ultrasound Blood-Brain Barrier Opening for Next-Generation Gene Therapy,"Nicholas Todd PhD, Brigham and Women's Hospital / Harvard Medical School",,"Boston, MA",United States,confirmed,
2026-10-09,13:50,14:00,oral,41,MRI-Guided Transurethral Ultrasound Ablation (TULSA) vs Robotic Prostatectomy RCT: 6-Month Outcomes,David Woodrum,Mayo Clinic,"Rochester, MN",United States,,
2026-10-09,14:00,14:10,oral,42,Impact of Ablation Plan on PSA Response and Catheterization Duration After MRI-Guided TULSA in the CARE Registry,David Sella,Mayo Clinic Florida,"Jacksonville, FL",United States,,
2026-10-09,14:10,14:20,oral,43,Translational Assessment of a Rabbit-Model Trained MRgFUS Imaging Biomarker,Amanpreet Singh,University of Utah,"Salt Lake City, UT",United States,,
2026-10-09,14:20,15:15,session,,Session X — Musculoskeletal,"Moderators: Jan Fritz, Second Moderator TBD",,,,,
2026-10-09,14:20,14:35,invited_talk,44,Invited Talk: MR Neurography-Guided Interventions (Title TBA),"Jan Fritz MD, New York University Grossman School of Medicine",,"New York, NY",United States,confirmed,
2026-10-09,14:35,14:45,oral,45,Feasibility of 3D Visualization for Intraprocedural Coverage Assessment in MR-Guided Spine Cryoablation,Mariana C,Brigham and Women's Hospital,"Boston, MA",United States,,
2026-10-09,14:45,14:55,oral,46,MRI-Guided Multi-Regional Biopsy of Soft-Tissue Sarcomas,Simon Reiss,University Medical Center Freiburg,Freiburg,Germany,,
2026-10-09,14:55,15:05,oral,47,MRI-Guided Percutaneous Laser Ablation for Pediatric Vascular Anomalies: A Single-Institution Experience,Setayesh Sotoudehnia Korani,Mayo Clinic,"Rochester, MN",United States,,
2026-10-09,15:05,15:15,oral,48,MRI-Safe Robot and Drill for Bone Biopsy: First Clinical Results,Kevin Cleary,Children's National Hospital,"Washington, DC",United States,,
2026-10-09,15:15,15:45,break,,Coffee Break and Visit Exhibits,,,,,,
2026-10-09,15:45,16:40,session,,Session XI — Technology II,"Moderators: Holden Wu, Second Moderator TBD",,,,,
2026-10-09,15:45,16:00,invited_talk,49,Invited Talk: (Title TBA),Holden Wu PhD,University of California Los Angeles,"Los Angeles, CA",United States,confirmed,
2026-10-09,16:00,16:10,oral,50,Tissue and Needle Tracking on Real-Time Interventional Liver MRI Using the SAM2++ Foundation Model,Christina Kerr,University of California Los Angeles,"Los Angeles, CA",United States,,
2026-10-09,16:10,16:20,oral,51,Unsupervised Conditional INR for Referenceless PRF Thermometry,Yueran Zhao,Shanghai Jiao Tong University,Shanghai,China,,
2026-10-09,16:20,16:30,oral,52,MR Thermometry-Based Validation of Liver Tumor Microwave Ablation Computational Modeling for Lesion Size Prediction,Nino Avetikovi,University of Bordeaux,Bordeaux,France,,
2026-10-09,16:30,16:40,oral,53,AI-Based Workflow for Automatic Needle Tracking and Dynamic Scan-Plane Control in Interventional MRI,Mariana C,Brigham and Women's Hospital,"Boston, MA",United States,,
2026-10-09,16:40,17:00,special,,Poster Awards and Conclusion,,,,,,
2026-10-09,17:00,,special,,Adjourn,,,,,,
